date,crop,price_per_ton,volume_traded,market_location
2024-01-01,rice,450.00,1200,Asia Market
2024-01-01,wheat,380.00,1500,Global Exchange
2024-01-01,corn,320.00,2000,Americas Hub
2024-01-02,rice,455.00,1100,Asia Market
2024-01-02,wheat,385.00,1400,Global Exchange
2024-01-02,corn,325.00,1900,Americas Hub
2024-01-03,rice,453.00,1300,Asia Market
2024-01-03,wheat,382.00,1600,Global Exchange
2024-01-03,corn,322.00,2100,Americas Hub
2024-01-04,rice,458.00,1250,Asia Market
2024-01-04,wheat,387.00,1450,Global Exchange
2024-01-04,corn,327.00,1950,Americas Hub
2024-01-05,rice,460.00,1150,Asia Market
2024-01-05,wheat,390.00,1550,Global Exchange
2024-01-05,corn,330.00,2050,Americas Hub
2024-01-06,rice,462.00,1180,Asia Market
2024-01-06,wheat,388.00,1520,Global Exchange
2024-01-06,corn,328.00,1980,Americas Hub
2024-01-07,rice,465.00,1220,Asia Market
2024-01-07,wheat,392.00,1480,Global Exchange
2024-01-07,corn,332.00,2020,Americas Hub